Date,Open,High,Low,Close,Adj Close,Volume,,
12/16/2014,198.580002,202.399994,197.860001,197.910004,183.626266,259543800,,-0.008019592
12/17/2014,198.440002,202.339996,198.289993,201.789993,187.226227,253910100,,0.019604826
12/18/2014,204.740005,212.970001,203.919998,206.779999,191.856079,257633900,,0.024728651
12/19/2014,206.429993,207.330002,205.610001,206.520004,192.672348,245084600,,0.00425459
12/22/2014,206.75,207.470001,206.460007,207.470001,193.55864,148318900,,0.004599996
12/23/2014,208.169998,208.229996,207.399994,207.75,193.819885,122167900,,0.001349694
12/24/2014,208.020004,208.339996,207.720001,207.770004,193.838547,42963400,,9.62853E-05
12/26/2014,208.309998,208.850006,208.25,208.440002,194.463608,57326700,,0.003224648
12/29/2014,208.220001,208.970001,208.139999,208.720001,194.724823,79643900,,0.001343259
12/30/2014,208.210007,208.369995,207.509995,207.600006,193.679932,73540800,,-0.005365988
12/31/2014,207.990005,208.190002,205.389999,205.539993,191.758057,130333800,,-0.009922943
1/2/2015,206.380005,206.880005,204.179993,205.429993,191.655411,121465900,,-0.000535289
1/5/2015,204.169998,204.369995,201.350006,201.720001,188.194214,169632600,,-0.01805948
1/6/2015,202.089996,202.720001,198.860001,199.820007,186.42157,209151400,,-0.009419227
1/7/2015,201.419998,202.720001,200.880005,202.309998,188.744629,125346700,,0.012461321
1/8/2015,204.009995,206.160004,203.990005,205.899994,192.093918,147217800,,0.017745082
1/9/2015,206.399994,206.419998,203.509995,204.25,190.554535,150812300,,-0.0080137
1/12/2015,204.410004,204.600006,201.919998,202.649994,189.061844,144396100,,-0.007833406
1/13/2015,204.119995,205.479996,200.509995,202.080002,188.53006,214553300,,-0.002812752
1/14/2015,199.649994,201.100006,198.570007,200.860001,187.391846,192991100,,-0.006037308
1/15/2015,201.630005,202.009995,198.880005,199.020004,185.675232,176613900,,-0.009160559
1/16/2015,198.770004,201.820007,198.550003,201.630005,188.110245,211879600,,0.013114366
1/20/2015,202.399994,202.720001,200.169998,202.059998,188.511398,129466200,,0.002132542
1/21/2015,201.5,203.660004,200.940002,203.080002,189.462997,122942700,,0.005047965
1/22/2015,203.990005,206.259995,202.330002,206.100006,192.280518,174356000,,0.014871089
1/23/2015,205.789993,206.100006,204.809998,204.970001,191.226273,115637000,,-0.005482849
1/26/2015,204.710007,205.559998,203.850006,205.449997,191.674103,92009700,,0.002341885
1/27/2015,202.970001,204.119995,201.740005,202.740005,189.145767,134044600,,-0.013190806
1/28/2015,204.169998,204.289993,199.910004,200.139999,186.720139,168514300,,-0.01282412
1/29/2015,200.380005,202.300003,198.679993,201.990005,188.446075,173585400,,0.009243438
1/30/2015,200.570007,202.169998,199.130005,199.449997,186.076385,197729700,,-0.012574897
2/2/2015,200.050003,202.029999,197.860001,201.919998,188.380783,163107000,,0.012384151
2/3/2015,203,204.850006,202.550003,204.839996,191.104996,122416200,,0.014461204
2/4/2015,203.919998,205.380005,203.509995,204.059998,190.377289,134306700,,-0.003807891
2/5/2015,204.860001,206.300003,204.770004,206.119995,192.299179,97953200,,0.010095164
2/6/2015,206.559998,207.240005,204.919998,205.550003,191.76738,119694900,,-0.002765477
2/9/2015,204.770004,205.639999,204.139999,204.630005,190.909103,87219000,,-0.004475615
2/10/2015,205.880005,207.119995,204.679993,206.809998,192.942886,96164200,,0.010653148
2/11/2015,206.610001,207.449997,205.830002,206.929993,193.054855,91087800,,0.000580322
2/12/2015,207.889999,208.990005,206.970001,208.919998,194.911423,97545900,,0.00961679
2/13/2015,209.070007,209.839996,208.759995,209.779999,195.713745,93670400,,0.004116342
2/17/2015,209.399994,210.320007,209.100006,210.110001,196.021622,76968200,,0.001573099
2/18/2015,209.660004,210.220001,209.339996,210.130005,196.040298,74848400,,9.52752E-05
2/19/2015,209.410004,210.419998,209.240005,209.979996,195.900345,91462500,,-0.000713899
2/20/2015,209.479996,211.330002,208.729996,211.240005,197.075836,140896400,,0.006000454
